Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
25,0.46289135,0.12137627,0.00000192,0.5095,0.6197,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5600,0.0000,0.0000,0.0000,0.0000,0.0000,245.2640,512,0.15,0.9600,15.0,0,2,12,0.000000
26,0.46094462,0.10806769,0.00003992,0.4405,0.5725,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4597,0.0000,0.0000,0.0000,0.0000,0.0000,241.4589,512,0.15,0.9600,15.0,0,2,12,0.000000
27,0.50453690,0.21541700,0.00003973,-0.0159,-0.0425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,512,0.15,1.0000,15.0,0,2,12,0.000000
28,0.44868801,0.12180635,0.00001996,0.3386,0.5460,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5089,0.0000,0.0000,0.0000,0.0000,0.0000,234.0476,384,1.00,1.0000,15.0,0,4,6,0.000000
29,0.44157120,0.12249722,0.00002127,0.2932,0.5537,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5263,0.0000,0.0000,0.0000,0.0000,0.0000,231.8199,384,1.00,1.0000,15.0,0,4,6,0.000000
30,0.43641387,0.12835300,0.00002086,0.1834,0.5143,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4564,0.0000,0.0000,0.0000,0.0000,0.0000,225.7603,384,1.00,1.0000,15.0,0,4,6,0.000000
31,0.43943000,0.11629823,0.00002044,0.3590,0.5694,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4993,0.0000,0.0000,0.0000,0.0000,0.0000,236.4352,384,1.00,0.9800,15.0,0,4,6,0.000000
32,0.43416722,0.10829081,0.00001999,0.4670,0.6223,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4459,0.0000,0.0000,0.0000,0.0000,0.0000,245.5494,384,1.00,0.9604,15.0,0,4,6,0.000000
33,0.43003452,0.11009807,0.00001954,0.3597,0.5735,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4687,0.0000,0.0000,0.0000,0.0000,0.0000,237.2812,384,1.00,0.9600,15.0,0,4,6,0.000000
34,0.42574533,0.10892942,0.00001621,0.3176,0.5517,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4278,0.0000,0.0000,0.0000,0.0000,0.0000,234.9048,384,1.00,0.9600,15.0,5,4,6,0.000000
35,0.42786332,0.10339036,0.00001638,0.4224,0.5915,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4331,0.0000,0.0000,0.0000,0.0000,0.0000,242.0320,384,1.00,0.9600,15.0,0,4,6,0.000000
36,0.42535051,0.10992794,0.00001602,0.3757,0.5845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4379,0.0000,0.0000,0.0000,0.0000,0.0000,239.2521,384,1.00,0.9600,15.0,0,4,6,0.000000
37,0.43091656,0.11652367,0.00001565,0.2855,0.5640,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5016,0.0000,0.0000,0.0000,0.0000,0.0000,232.4432,384,1.00,0.9600,15.0,0,4,6,0.000000
38,0.43355185,0.10636691,0.00000048,0.5187,0.6673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4603,0.0000,0.0000,0.0000,0.0000,0.0000,250.0918,512,0.15,0.9600,15.0,0,2,12,0.000000
39,0.43066257,0.11097979,0.00000602,0.5136,0.6570,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4355,0.0000,0.0000,0.0000,0.0000,0.0000,249.8215,512,0.15,0.9600,15.0,0,2,12,0.000000
