Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
22,0.03102838,0.03078984,0.00005957,0.0000,0.0000,22.7819,0.9513,0.1217,1.8282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1759,512,0.30,0.1000,15.0,0,32,1,0.000000
23,0.03101177,0.03082816,0.00007083,0.0000,0.0000,22.7835,0.9514,0.1217,1.8401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1809,512,0.45,0.1000,15.0,0,32,1,0.000000
24,0.03100818,0.03081652,0.00005945,0.0000,0.0000,22.7814,0.9513,0.1217,1.8609,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1382,512,0.45,0.1000,15.0,0,32,1,0.000000
25,0.06001674,0.03079648,0.00010580,0.0000,0.0000,22.7805,0.9513,0.1217,1.8347,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1543,512,0.60,0.1000,15.0,0,32,1,0.000000
26,0.03099177,0.03070728,0.00008888,0.0000,0.0000,22.8211,0.9517,0.1221,1.9691,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.4259,512,0.60,0.1000,15.0,0,32,1,0.000000
27,0.03099723,0.03079072,0.00001000,0.0000,0.0000,22.7808,0.9513,0.1217,1.8393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1529,512,0.60,0.1000,15.0,0,32,1,0.000000
28,0.03097335,0.03077645,0.00007557,0.0000,0.0000,22.7811,0.9513,0.1217,1.8838,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.1116,512,0.60,0.1000,15.0,0,32,1,0.000000
29,0.03097441,0.03058972,0.00005903,0.0000,0.0000,22.8289,0.9582,0.1215,2.0165,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.7388,512,0.60,0.1000,15.0,0,64,1,0.000000
30,0.03097430,0.03078460,0.00005903,0.0000,0.0000,22.7813,0.9576,0.1217,1.8283,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.4192,512,0.60,0.1000,15.0,0,64,1,0.000000
31,0.03097387,0.03078072,0.00005894,0.0000,0.0000,22.7814,0.9576,0.1217,1.8393,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.4095,512,0.60,0.1000,15.0,0,64,1,0.000000
32,0.06008465,0.03081533,0.00008818,0.0000,0.0000,22.7934,0.9574,0.1226,1.6734,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.6545,512,0.75,0.1000,15.0,0,64,1,0.000000
33,0.03408571,0.03077225,0.00008801,0.0000,0.0000,22.7689,0.9578,0.1216,2.0673,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.0730,512,0.75,0.1000,15.0,0,64,1,0.000000
34,0.03099014,0.03082922,0.00008801,0.0000,0.0000,22.7930,0.9574,0.1226,1.6619,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.6617,512,0.75,0.1000,15.0,0,64,1,0.000000
35,0.04951369,0.03080116,0.00005854,0.0000,0.0000,22.7926,0.9574,0.1226,1.6538,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.6653,512,0.75,0.1000,15.0,0,64,1,0.000000
36,0.05751047,0.03073198,0.00005838,0.0000,0.0000,22.8079,0.9575,0.1226,1.6823,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,399.7939,512,0.75,0.1000,15.0,0,64,1,0.000000
