Epoch,Train_Loss,Val_Loss,LR,PLCC,SRCC,PSNR,SSIM,LPIPS,FID,mAP50,mAP50-95,Accuracy,Rank_Margin,MAE,mIoU,mAP_Medium,mAP_Hard,Accuracy_VQA,Quality_Score,Res,Data,Temp,Clamp,Cooldown,Batch,Accumulation,Stress
22,0.03766320,0.13476778,0.00002383,0.6262,0.5769,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4908,0.0000,0.0000,0.0000,0.0000,0.0000,60.1564,512,0.90,0.6812,15.0,0,28,1,0.000000
23,0.04556714,0.13924388,0.00002833,0.6132,0.5748,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4936,0.0000,0.0000,0.0000,0.0000,0.0000,59.4004,512,1.00,0.6676,15.0,0,28,1,0.000000
24,0.03729816,0.13750610,0.00002378,0.6250,0.5789,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4922,0.0000,0.0000,0.0000,0.0000,0.0000,60.1932,512,1.00,0.6676,15.0,0,28,1,0.000000
25,0.04232924,0.14088867,0.00002376,0.6124,0.5648,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4985,0.0000,0.0000,0.0000,0.0000,0.0000,58.8587,512,1.00,0.6543,15.0,0,28,1,1.000000
26,0.03016870,0.13723840,0.00002373,0.6249,0.5784,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4923,0.0000,0.0000,0.0000,0.0000,0.0000,60.1647,512,1.00,0.6412,15.0,0,28,1,2.000000
27,0.04840701,0.14427673,0.00002370,0.5978,0.5597,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5061,0.0000,0.0000,0.0000,0.0000,0.0000,57.8733,512,1.00,0.6283,15.0,0,28,1,2.000000
28,0.04086001,0.14234584,0.00002382,0.5983,0.5612,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5043,0.0000,0.0000,0.0000,0.0000,0.0000,57.9731,512,0.85,0.6283,15.0,5,28,1,2.000000
29,0.02397947,0.13747299,0.00002379,0.6177,0.5778,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4937,0.0000,0.0000,0.0000,0.0000,0.0000,59.7734,512,0.85,0.6283,15.0,4,28,1,2.000000
30,0.03551826,0.14090562,0.00002361,0.6191,0.5741,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4966,0.0000,0.0000,0.0000,0.0000,0.0000,59.6612,512,0.85,0.6283,15.0,3,28,1,2.000000
31,0.03259074,0.14288797,0.00002358,0.6141,0.5722,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.5016,0.0000,0.0000,0.0000,0.0000,0.0000,59.3140,512,0.85,0.6283,15.0,2,28,1,2.000000
32,0.02065609,0.13675946,0.00002354,0.6260,0.5828,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4926,0.0000,0.0000,0.0000,0.0000,0.0000,60.4371,512,0.85,0.6283,15.0,1,28,1,2.000000
33,0.01883096,0.13393381,0.00002351,0.6321,0.5879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4879,0.0000,0.0000,0.0000,0.0000,0.0000,61.0014,512,0.85,0.6158,15.0,0,28,1,0.000000
34,0.01780502,0.13235717,0.00002347,0.6347,0.5881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4873,0.0000,0.0000,0.0000,0.0000,0.0000,61.1414,512,0.85,0.6035,15.0,0,28,1,0.000000
35,0.01692386,0.13313328,0.00002343,0.6373,0.5916,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4849,0.0000,0.0000,0.0000,0.0000,0.0000,61.4453,512,0.85,0.5914,15.0,0,28,1,0.000000
36,0.01603945,0.13167216,0.00002339,0.6394,0.5945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4826,0.0000,0.0000,0.0000,0.0000,0.0000,61.6920,512,0.85,0.5796,15.0,0,28,1,0.000000
37,0.01583654,0.13378256,0.00002335,0.6323,0.5905,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4863,0.0000,0.0000,0.0000,0.0000,0.0000,61.1398,512,0.85,0.5680,15.0,0,24,1,0.000000
38,0.01992661,0.13036034,0.00001629,0.6390,0.5945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4823,0.0000,0.0000,0.0000,0.0000,0.0000,61.6765,512,1.00,0.5566,15.0,0,28,1,0.000000
39,0.01505445,0.13077882,0.00001396,0.6400,0.5953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4810,0.0000,0.0000,0.0000,0.0000,0.0000,61.7666,512,1.00,0.5566,15.0,0,28,1,0.000000
40,0.01315065,0.13123455,0.00001393,0.6411,0.5972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4819,0.0000,0.0000,0.0000,0.0000,0.0000,61.9155,512,1.00,0.5455,15.0,0,28,1,0.000000
41,0.02872228,0.13360881,0.00002317,0.6339,0.5891,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4873,0.0000,0.0000,0.0000,0.0000,0.0000,61.1525,512,1.00,0.5346,15.0,0,28,1,1.000000
42,0.01943135,0.13628062,0.00002313,0.6330,0.5881,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4880,0.0000,0.0000,0.0000,0.0000,0.0000,61.0546,512,1.00,0.5239,15.0,0,28,1,1.000000
43,0.01512576,0.13224229,0.00002308,0.6359,0.5945,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4830,0.0000,0.0000,0.0000,0.0000,0.0000,61.5170,512,1.00,0.5134,15.0,0,28,1,1.000000
44,0.01748018,0.13492852,0.00002303,0.6295,0.5849,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4893,0.0000,0.0000,0.0000,0.0000,0.0000,60.7223,512,1.00,0.5031,15.0,0,28,1,1.000000
45,0.01641600,0.13149232,0.00002298,0.6418,0.5972,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4817,0.0000,0.0000,0.0000,0.0000,0.0000,61.9501,512,1.00,0.5000,15.0,0,28,1,1.000000
46,0.01367645,0.13212584,0.00002293,0.6367,0.5957,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4829,0.0000,0.0000,0.0000,0.0000,0.0000,61.6187,512,1.00,0.5000,15.0,0,28,1,0.000000
47,0.01301947,0.13209906,0.00002287,0.6381,0.5953,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4829,0.0000,0.0000,0.0000,0.0000,0.0000,61.6742,512,1.00,0.5000,15.0,0,28,1,0.000000
48,0.02589577,0.13185006,0.00002281,0.6411,0.5963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4828,0.0000,0.0000,0.0000,0.0000,0.0000,61.8672,512,1.00,0.5000,15.0,0,28,1,1.000000
49,0.01211810,0.13008910,0.00002276,0.6440,0.5987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4793,0.0000,0.0000,0.0000,0.0000,0.0000,62.1353,512,1.00,0.5000,15.0,0,28,1,1.000000
50,0.01173694,0.12820323,0.00002271,0.6431,0.5990,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4786,0.0000,0.0000,0.0000,0.0000,0.0000,62.1066,512,1.00,0.5000,15.0,0,28,1,0.000000
51,0.01143172,0.12818290,0.00002265,0.6470,0.6020,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4783,0.0000,0.0000,0.0000,0.0000,0.0000,62.4527,512,1.00,0.5000,15.0,0,28,1,0.000000
52,0.01102597,0.12860670,0.00002259,0.6437,0.5987,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4799,0.0000,0.0000,0.0000,0.0000,0.0000,62.1213,512,1.00,0.5000,15.0,0,28,1,0.000000
53,0.01338280,0.13193204,0.00002253,0.6408,0.5958,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4812,0.0000,0.0000,0.0000,0.0000,0.0000,61.8346,512,1.00,0.5000,15.0,0,28,1,1.000000
